Name,Screen_Name,Total_Score,Retweet_Avg,Reply_Avg,Like_Avg,Quote_Avg
Democrat Missourian,DMissourian,1.87,0.53,0.0,0.02,1.32
U.S. Rep. Billy Long,USRepLong,24.45,2.78,14.16,0.75,6.76
Alex Johnson,thatguyjohnson7,3.35,0.59,0.96,1.15,0.65
Brian Williams,BrianWilliamsMO,18.61,7.57,1.45,3.16,6.43
Steve Butz,ButzSteve,1.91,0.41,0.11,0.63,0.76
Bill White,RepBillWhite,0.16,0.15,0.0,0.01,0.0
Ann Wagner,RepAnnWagner,38.44,5.51,18.08,1.99,12.86
Jim Murphy Missouri 94th House District,jmmurphy8,6.53,1.14,1.9,0.71,2.78
Bill Reiboldt,MORepBill,0.85,0.22,0.02,0.07,0.54
Bill Lant,RepBillLant,0.44,0.14,0.27,0.03,0.0
Ben Baker,BenBakerMO,9.4,0.83,3.32,0.41,4.84
Andrew Koenig,Koenig4MO,43.13,3.21,14.78,1.64,23.5
Elaine Gannon,votegannon,5.49,1.19,3.33,0.14,0.83
Peggy McGaugh,PeggyMcGaughR39,1.28,0.11,0.28,0.22,0.67
Tracy McCreery,TracyMcCreery,4.98,1.96,0.35,0.83,1.84
Doug Beck,DougBeck562,53.72,18.93,3.47,9.1,22.22
Jo Doll,doll_jo,14.47,5.0,1.35,2.77,5.35
Becky Ruth,BeckyRuth114,1.22,0.22,0.24,0.22,0.54
MaryElizabethColeman,meaccoleman,11.71,0.74,6.77,0.64,3.56
Mike Cierpiot,MikeCierpiot,3.34,0.21,1.15,0.55,1.43
Dan Shaul,DanShaulMO,4.16,1.14,0.79,0.54,1.69
Phil Christofanelli,phlchristo,17.45,2.62,3.58,2.94,8.31
Rep. Vicky Hartzler,RepHartzler,49.5,7.6,25.15,2.75,14.0
Rep Rasheen Aldridge. Jr (He/Him),RepSheenBean,9.86,3.06,1.38,2.74,2.68
Mike McGirl,mmcgirl1,0.89,0.03,0.13,0.06,0.67
Rep. Emanuel Cleaver,repcleaver,15.52,6.53,2.44,1.95,4.6
