Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF,Marcus Wilson (22904511),Marcus Wilson,22904511,OF,2000,SEA@BAL 06/01/2022 07:05PM ET,SEA,0
OF,Gabriel Gonzalez (22904516),Gabriel Gonzalez,22904516,OF,2000,SEA@BAL 06/01/2022 07:05PM ET,SEA,0
OF,Colton Cowser (22904526),Colton Cowser,22904526,OF,2000,SEA@BAL 06/01/2022 07:05PM ET,BAL,0
OF,Vinny Capra (22904209),Vinny Capra,22904209,OF,2000,CWS@TOR 06/01/2022 07:07PM ET,TOR,1.38
OF,Micker Adolfo (22904214),Micker Adolfo,22904214,OF,2000,CWS@TOR 06/01/2022 07:07PM ET,CWS,0
OF,Dwight Smith Jr. (22904383),Dwight Smith Jr.,22904383,OF,2000,CWS@TOR 06/01/2022 07:07PM ET,CWS,0
OF,Cornelius Randolph (22904404),Cornelius Randolph,22904404,OF,2000,CWS@TOR 06/01/2022 07:07PM ET,CWS,0
OF,Blake Rutherford (22904440),Blake Rutherford,22904440,OF,2000,CWS@TOR 06/01/2022 07:07PM ET,CWS,0
OF,Luis Basabe (22904456),Luis Basabe,22904456,OF,2000,CWS@TOR 06/01/2022 07:07PM ET,CWS,0
OF,Patrick Kivlehan (22904477),Patrick Kivlehan,22904477,OF,2000,CWS@TOR 06/01/2022 07:07PM ET,CWS,0
OF,Mark Payton (22904496),Mark Payton,22904496,OF,2000,CWS@TOR 06/01/2022 07:07PM ET,CWS,0
OF,Dasan Brown (22904505),Dasan Brown,22904505,OF,2000,CWS@TOR 06/01/2022 07:07PM ET,TOR,0
OF,Yoelqui Cespedes (22904534),Yoelqui Cespedes,22904534,OF,2000,CWS@TOR 06/01/2022 07:07PM ET,CWS,0
OF,Mallex Smith (22904545),Mallex Smith,22904545,OF,2000,CWS@TOR 06/01/2022 07:07PM ET,TOR,0
OF,Josh Palacios (22904569),Josh Palacios,22904569,OF,2000,CWS@TOR 06/01/2022 07:07PM ET,TOR,0
OF,Ronnie Dawson (22904241),Ronnie Dawson,22904241,OF,2000,CIN@BOS 06/01/2022 07:10PM ET,CIN,0
OF,Allan Cerda (22904341),Allan Cerda,22904341,OF,2000,CIN@BOS 06/01/2022 07:10PM ET,CIN,0
OF,Malvin Valdez (22904385),Malvin Valdez,22904385,OF,2000,CIN@BOS 06/01/2022 07:10PM ET,CIN,0
OF,Ariel Almonte (22904410),Ariel Almonte,22904410,OF,2000,CIN@BOS 06/01/2022 07:10PM ET,CIN,0
OF,Jay Allen (22904436),Jay Allen,22904436,OF,2000,CIN@BOS 06/01/2022 07:10PM ET,CIN,0
OF,Gilberto Jimenez (22904457),Gilberto Jimenez,22904457,OF,2000,CIN@BOS 06/01/2022 07:10PM ET,BOS,0
OF,Nick Decker (22904514),Nick Decker,22904514,OF,2000,CIN@BOS 06/01/2022 07:10PM ET,BOS,0
OF,Christin Stewart (22904519),Christin Stewart,22904519,OF,2000,CIN@BOS 06/01/2022 07:10PM ET,BOS,0
OF,Mike Siani (22904533),Mike Siani,22904533,OF,2000,CIN@BOS 06/01/2022 07:10PM ET,CIN,0
OF,Trey Amburgey (22904555),Trey Amburgey,22904555,OF,2000,CIN@BOS 06/01/2022 07:10PM ET,CIN,0
OF,Jake Bauers (22904562),Jake Bauers,22904562,OF,2000,CIN@BOS 06/01/2022 07:10PM ET,CIN,0
OF,Leody Taveras (22904208),Leody Taveras,22904208,OF,2000,TB@TEX 06/01/2022 08:05PM ET,TEX,0
OF,Zach Reks (22904243),Zach Reks,22904243,OF,2000,TB@TEX 06/01/2022 08:05PM ET,TEX,3.43
OF,Josh Stowers (22904314),Josh Stowers,22904314,OF,2000,TB@TEX 06/01/2022 08:05PM ET,TEX,0
OF,Evan Carter (22904323),Evan Carter,22904323,OF,2000,TB@TEX 06/01/2022 08:05PM ET,TEX,0
