,Tweet_id,Tweet,Likes,Retweets,Impression_Count,Profile_Clicks
60,1511881052511510531,"@DLHoskins I love how the GQP blames this on “lazy” people that don’t want to work but puts no demands on companies, conditions, pay. Oh that’s right. Because they’ve bought you.",0,0,,0
61,1511880060562718721,@GovParsonMO You send this to Greiten’s acquaintances I hope?,2,0,,0
62,1511729636962668548,tweepy test3,2,0,,0
63,1511729030378278917,tweepy test2,2,0,,0
64,1511728511115046916,tweepy test,1,0,,0
65,1511719703722536966,I never thought I'd be around to see racism normalized by such a radical group of MAGAs.,19,3,,3
66,1511710813861691392,@nichole__kc @CraigSchaefer85 @LauraAnnSTL isn't it on point for the GQP to never remember this?,4,0,,0
67,1511558358792343553,@tvmeltedurbrain @TheHoeyHimself @nytimes fu,0,0,,2
68,1511552418198310918,@NickBSchroer https://t.co/9HYgJ5MYgm,1,0,,1
69,1511552298916487168,@TheJuiceStl @addi_eileen @NickBSchroer Do you know what the SRY gene is? Or is that too much science for your QAnon brain to handle? Are you a flat earther too?,2,0,,0
70,1511551822208581638,"@TheJuiceStl @AJWILLIKERS @NickBSchroer Oh FFS. Yes, you are Q.",1,0,,0
71,1511551348864651266,@NickBSchroer You are obsessed with kids' genitals aren't you Nicky. You are projecting. You are a sick f.,1,0,,0
